実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"332,613.1 ","183,898.9 ","181,113.7 ","153,546.1 ","25,243.4 ","47,670.9 ",663.2 ,"53,302.0 ","29,395.9 ",22.1 ,"1,933.6 ","28,124.4 ","26,190.8 ","-9,516.9 ",,"4,952.5 ","337,565.6 ","1,735.2 ","5,795.9 ","4,060.7 ","339,300.8 ",,"336,495.4 ","255,154.6 ","81,378.0 ",,"99,415.8 ",,"331,809.7 ",,,
7- 9.,"337,565.2 ","184,437.2 ","181,632.6 ","153,931.7 ","25,128.5 ","50,031.3 ","1,181.6 ","53,790.5 ","29,523.1 ",247.0 ,"2,205.6 ","27,539.9 ","25,334.3 ","-8,979.6 ",,"4,959.9 ","342,525.1 ","1,806.0 ","5,564.7 ","3,758.6 ","344,331.1 ",,"341,490.4 ","259,229.9 ","82,266.8 ",,"102,195.2 ",,"335,782.4 ",,,
10-12.,"342,907.7 ","188,186.3 ","185,345.4 ","157,372.3 ","24,828.8 ","50,809.5 ","1,542.6 ","54,234.1 ","29,182.9 ",698.9 ,"2,263.7 ","27,506.7 ","25,243.0 ","-8,838.9 ",,"5,922.2 ","348,830.0 ","1,596.3 ","4,956.7 ","3,360.4 ","350,426.2 ",,"347,039.5 ","264,044.9 ","82,935.3 ",,"102,592.6 ",,"340,124.7 ",,,
1986/ 1- 3.,"343,060.2 ","189,128.7 ","186,233.2 ","158,104.8 ","25,279.4 ","50,526.6 ","2,827.9 ","54,237.5 ","30,219.9 ",-83.1 ,785.7 ,"26,084.9 ","25,299.2 ","-9,862.5 ",,"7,255.8 ","350,316.0 ","1,541.8 ","4,948.8 ","3,407.0 ","351,857.8 ",,"349,779.5 ","266,708.1 ","82,953.0 ",,"103,477.6 ",,"339,449.4 ",,,
4- 6.,"344,100.2 ","189,911.1 ","186,944.2 ","158,670.1 ","26,022.3 ","52,292.7 ","1,086.8 ","53,881.1 ","30,351.9 ","1,157.1 ",-217.4 ,"26,652.8 ","26,870.1 ","-10,385.4 ",,"11,468.3 ","355,568.5 ","1,736.8 ","4,922.1 ","3,185.3 ","357,305.2 ",,"352,114.0 ","267,782.3 ","84,285.6 ",,"106,206.9 ",,"341,465.3 ",,,
7- 9.,"346,522.1 ","192,795.9 ","189,766.3 ","161,254.7 ","27,007.5 ","52,479.8 ",627.5 ,"55,276.2 ","31,413.6 ",572.8 ,"-1,699.6 ","26,074.7 ","27,774.4 ","-11,951.5 ",,"14,380.1 ","360,902.2 ","1,547.8 ","4,880.3 ","3,332.5 ","362,450.0 ",,"356,889.9 ","270,916.0 ","85,978.3 ",,"108,059.6 ",,"345,138.4 ",,,
10-12.,"350,553.6 ","193,412.3 ","190,356.5 ","161,697.8 ","27,750.0 ","53,324.8 ",681.5 ,"57,698.4 ","31,847.9 ",-102.1 ,"-1,748.9 ","26,075.4 ","27,824.3 ","-12,310.3 ",,"13,392.5 ","363,946.1 ","1,755.9 ","5,526.1 ","3,770.2 ","365,702.0 ",,"361,085.5 ","273,206.7 ","87,975.2 ",,"109,967.7 ",,"349,801.8 ",,,
1987/ 1- 3.,"351,752.8 ","196,351.9 ","193,309.5 ","164,411.5 ","28,513.6 ","53,399.2 ",-672.0 ,"56,360.3 ","32,004.6 ",-84.8 ,"-1,351.2 ","25,925.7 ","27,276.9 ","-12,768.9 ",,"12,439.4 ","364,192.2 ","1,941.5 ","6,252.7 ","4,311.2 ","366,133.7 ",,"361,917.6 ","275,037.6 ","86,854.8 ",,"110,760.0 ",,"352,557.1 ",,,
4- 6.,"357,860.3 ","197,542.1 ","194,536.6 ","165,455.7 ","30,209.7 ","55,099.8 ","1,276.7 ","57,378.5 ","32,066.2 ",-243.2 ,"-3,079.6 ","26,017.3 ","29,096.9 ","-12,389.9 ",,"12,091.4 ","369,951.7 ","2,152.7 ","6,626.8 ","4,474.1 ","372,104.4 ",,"369,942.4 ","282,037.6 ","87,786.8 ",,"114,070.7 ",,"356,386.4 ",,,
7- 9.,"364,386.4 ","200,463.4 ","197,470.1 ","168,134.4 ","31,966.0 ","56,587.0 ",916.7 ,"57,665.7 ","33,703.6 ",-225.1 ,"-3,836.1 ","26,391.6 ","30,227.7 ","-12,854.6 ",,"11,883.8 ","376,270.3 ","2,999.0 ","8,080.2 ","5,081.3 ","379,269.2 ",,"377,352.3 ","287,562.3 ","89,681.2 ",,"118,516.6 ",,"363,305.5 ",,,
